Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,Signal
2025-06-13 00:00:00-04:00,198.94075911963023,199.57822954037988,194.92668495173118,195.67372131347656,51447300,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-16 00:00:00-04:00,196.52037110088898,197.90487790098294,195.78328974313985,197.6359405517578,43020700,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-17 00:00:00-04:00,196.42074594971083,197.60604600468164,194.43861931524052,194.86691284179688,38856200,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-18 00:00:00-04:00,195.16573699325735,196.7893008408277,194.2991796996429,195.80320739746094,45394700,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-20 00:00:00-04:00,197.45666110928434,200.90298042554332,196.08210930882012,200.20574951171875,96813500,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-23 00:00:00-04:00,200.83324176458547,201.50059236215068,198.1737943867686,200.70375061035156,55814300,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-24 00:00:00-04:00,201.78945874554142,202.63610603642124,199.4089034764897,199.50851440429688,54064000,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-25 00:00:00-04:00,200.65396860223956,202.8651975026319,199.82724651799433,200.76353454589844,39525700,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-26 00:00:00-04:00,200.63404307360597,201.8392684520338,198.67184150130464,200.20574951171875,50799100,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
2025-06-27 00:00:00-04:00,201.09222774816857,202.41697405518968,199.20969672208463,200.28543090820312,73188600,0.0,0.0,203.98076477050782,72.66624415879437,1.6985307899389284,3.648191229918104,-1.9496604399791755,-1
