Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,RSI_14,MACD,MACD_Signal,MACD_Hist,Signal
2025-06-13 00:00:00-04:00,198.94074360607502,199.57821397711425,194.92666975119658,195.6737060546875,51447300,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-16 00:00:00-04:00,196.52035592822918,197.90486262143017,195.78327462738756,197.63592529296875,43020700,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-17 00:00:00-04:00,196.42074594971083,197.60604600468164,194.43861931524052,194.86691284179688,38856200,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-18 00:00:00-04:00,195.16573699325735,196.7893008408277,194.2991796996429,195.80320739746094,45394700,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-20 00:00:00-04:00,197.45666110928434,200.90298042554332,196.08210930882012,200.20574951171875,96813500,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-23 00:00:00-04:00,200.83325703321927,201.50060768152076,198.17380945321412,200.70376586914062,55814300,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-24 00:00:00-04:00,201.78945874554142,202.63610603642124,199.4089034764897,199.50851440429688,54064000,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-25 00:00:00-04:00,200.65396860223956,202.8651975026319,199.82724651799433,200.76353454589844,39525700,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-26 00:00:00-04:00,200.63404307360597,201.8392684520338,198.67184150130464,200.20574951171875,50799100,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-27 00:00:00-04:00,201.09221242791352,202.41695863400855,199.20968154525062,200.28541564941406,73188600,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-06-30 00:00:00-04:00,201.211736268348,206.57048164253425,198.4726031076903,204.3592529296875,91912800,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-01 00:00:00-04:00,205.85332972802502,209.35942450018746,205.3254252695324,206.99879455566406,78788900,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-02 00:00:00-04:00,208.08449026524102,212.49697770796604,207.31752868499885,211.6005401611328,67941800,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-03 00:00:00-04:00,211.31166931275297,213.8017903991559,210.97301649264048,212.70614624023438,34955800,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-07 00:00:00-04:00,211.83958469799765,215.37555986284275,207.97492690746134,209.12037658691406,50229000,0.0,0.0,203.98076477050782,72.66625821973724,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-08 00:00:00-04:00,209.26978591644843,210.59451698338924,207.6262968509882,209.1801300048828,42848900,0.0,0.0,203.98076477050782,72.72542806625924,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-09 00:00:00-04:00,208.7020406311003,210.49493096772343,206.40117103180637,210.30567932128906,48749400,0.0,0.0,203.98076477050782,73.87274043275401,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-10 00:00:00-04:00,209.67816220166208,212.63642743345136,209.2000631819418,211.57066345214844,44443600,0.0,0.0,203.98076477050782,75.13851406900652,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-11 00:00:00-04:00,209.73794232575938,211.29177557167307,209.03074119537857,210.3256072998047,39765800,0.0,0.0,203.98076477050782,71.46851873879918,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-14 00:00:00-04:00,209.10044482334126,210.07658325197187,206.71988962428105,207.79562377929688,38840100,0.0,0.0,203.98076477050782,64.56725435410256,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-15 00:00:00-04:00,208.39325734338402,211.05270487364396,208.09443976951917,208.28369140625,42296300,0.0,0.0,204.61126403808595,65.26410447166928,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-16 00:00:00-04:00,209.46900551017632,211.5606982702429,207.81556132948495,209.32955932617188,47490500,0.0,0.0,205.1959457397461,66.77216289521398,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-17 00:00:00-04:00,209.7379389650813,210.9630743588066,208.7618004967043,209.1901092529297,48068100,0.0,0.0,205.91210556030273,66.35848461931226,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-18 00:00:00-04:00,210.0367321724359,210.95309492429405,208.87135730762196,210.3455047607422,48974600,0.0,0.0,206.63922042846679,68.12075256746665,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-21 00:00:00-04:00,211.26189276464606,214.92734394651046,210.79374875413163,211.640380859375,51377400,0.0,0.0,207.2109519958496,70.01641980350202,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-22 00:00:00-04:00,212.29776458434165,214.1006098348481,211.39135685335447,213.5527801513672,46404100,0.0,0.0,207.85340270996093,72.60717244707135,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
2025-07-23 00:00:00-04:00,214.15043456376964,214.29983576430007,211.5706725113145,213.3037872314453,46989300,0.0,0.0,208.54316635131835,71.7380417560627,1.6985320595737505,3.6481930278526513,-1.9496609682789008,-1
